scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,422.26135,423.8001,0.797126,444.78705,432.60278,0.6812169,491.09857,371.72586,0.45753977,399.9995,407.565,0.8855329
1,422.2709,423.8118,0.79715127,444.79926,432.61606,0.68103004,491.10278,371.7275,0.45740542,400.00635,407.5749,0.8856079
2,422.26843,423.81223,0.79715496,444.79385,432.61813,0.68108094,491.1018,371.72934,0.45719886,400.00568,407.5752,0.8856042
3,422.27225,423.8122,0.79716873,444.8021,432.61923,0.68097764,491.10092,371.72964,0.45710176,400.0072,407.57632,0.88551545
4,422.27234,423.8123,0.7971742,444.80188,432.6194,0.6809741,491.1009,371.7299,0.45709795,400.00754,407.57697,0.8855193
5,422.27252,423.8121,0.79718137,444.8021,432.6201,0.68097556,491.1012,371.72958,0.4571107,400.00812,407.57776,0.885517
6,422.27252,423.8121,0.79718137,444.8021,432.6201,0.68097556,491.1012,371.72958,0.4571107,400.00812,407.57776,0.885517
7,422.26865,423.80023,0.79833513,444.7405,432.51172,0.679905,491.19742,371.61383,0.44716755,400.165,407.48184,0.88653266
8,422.26865,423.80023,0.79833597,444.7405,432.51172,0.67990524,491.19742,371.61386,0.4471683,400.16498,407.48184,0.886534
9,422.26865,423.80023,0.79833597,444.7405,432.51172,0.67990524,491.19742,371.61386,0.4471683,400.16498,407.48184,0.886534
10,422.26865,423.80023,0.79833597,444.7405,432.51172,0.67990524,491.19742,371.61386,0.4471683,400.16498,407.48184,0.886534
11,422.26865,423.80023,0.79833597,444.7405,432.51172,0.67990524,491.19742,371.61386,0.4471683,400.16498,407.48184,0.886534
12,422.26865,423.80023,0.79833597,444.7405,432.51172,0.67990524,491.19742,371.61386,0.4471683,400.16498,407.48184,0.886534
13,422.26865,423.80023,0.79833597,444.7405,432.51172,0.67990524,491.19742,371.61386,0.4471683,400.16498,407.48184,0.886534
14,422.402,423.7831,0.7983975,444.9023,432.4795,0.68099624,491.3126,371.88287,0.4566787,400.30295,407.35025,0.8880104
15,422.40204,423.7831,0.7983975,444.9023,432.4795,0.6809963,491.3126,371.88287,0.4566781,400.30295,407.35025,0.88800997
16,422.40204,423.7831,0.7983975,444.9023,432.4795,0.6809963,491.3126,371.88287,0.4566781,400.30295,407.35025,0.88800997
17,422.40204,423.7831,0.7983975,444.9023,432.4795,0.6809963,491.3126,371.88287,0.4566781,400.30295,407.35025,0.88800997
18,422.40204,423.7831,0.7983975,444.9023,432.4795,0.6809963,491.3126,371.88287,0.4566781,400.30295,407.35025,0.88800997
19,422.40204,423.7831,0.7983975,444.9023,432.4795,0.6809963,491.3126,371.88287,0.4566781,400.30295,407.35025,0.88800997
20,422.40204,423.7831,0.7983975,444.9023,432.4795,0.6809963,491.3126,371.88287,0.4566781,400.30295,407.35025,0.88800997
21,422.31406,423.84967,0.79655653,444.8028,432.58243,0.68868124,490.9252,371.4371,0.4394685,400.3093,407.44162,0.883408
22,422.31406,423.84967,0.79655695,444.8028,432.58243,0.6886807,490.92523,371.4371,0.43947,400.3093,407.44162,0.8834075
23,422.31406,423.84964,0.7965575,444.80295,432.58243,0.6886768,490.92526,371.43713,0.4394702,400.30917,407.44153,0.883408
24,422.31406,423.84964,0.7965575,444.80295,432.58243,0.6886768,490.92526,371.43713,0.4394702,400.30917,407.44153,0.883408
25,422.31406,423.84964,0.7965575,444.80295,432.58243,0.6886768,490.92526,371.43713,0.4394702,400.30917,407.44153,0.883408
26,422.31406,423.84964,0.7965575,444.80295,432.58243,0.6886768,490.92526,371.43713,0.4394702,400.30917,407.44153,0.883408
27,422.31406,423.84964,0.7965575,444.80295,432.58243,0.6886768,490.92526,371.43713,0.4394702,400.30917,407.44153,0.883408
28,422.3615,423.8499,0.79796505,444.79053,432.5657,0.68454945,491.1747,371.67087,0.45032847,400.25842,407.50507,0.8821975
29,422.3615,423.8499,0.79796576,444.7905,432.56573,0.6845502,491.1747,371.67087,0.45032924,400.25836,407.50507,0.8821978
30,422.36148,423.8499,0.79796517,444.7905,432.56573,0.68455017,491.1747,371.67087,0.45032954,400.25836,407.50507,0.88219786
31,422.36148,423.8499,0.79796517,444.7905,432.56573,0.68455017,491.1747,371.67087,0.45032954,400.25836,407.50507,0.88219786
32,422.36148,423.8499,0.79796517,444.7905,432.56573,0.68455017,491.1747,371.67087,0.45032954,400.25836,407.50507,0.88219786
33,422.36148,423.8499,0.79796517,444.7905,432.56573,0.68455017,491.1747,371.67087,0.45032954,400.25836,407.50507,0.88219786
34,422.36148,423.8499,0.79796517,444.7905,432.56573,0.68455017,491.1747,371.67087,0.45032954,400.25836,407.50507,0.88219786
35,422.31082,423.7243,0.7967559,444.66354,431.5128,0.68274146,491.1861,371.64905,0.4529333,400.28134,407.42194,0.8870237
36,422.3108,423.7243,0.7967567,444.6635,431.51285,0.6827399,491.1861,371.64905,0.4529325,400.28134,407.4219,0.8870227
37,422.3108,423.72433,0.79675645,444.6635,431.51288,0.6827397,491.1861,371.64905,0.45293278,400.28134,407.4219,0.8870227
38,422.3108,423.72433,0.79675645,444.6635,431.51288,0.6827397,491.1861,371.64905,0.45293278,400.28134,407.4219,0.8870227
39,422.3108,423.72433,0.79675645,444.6635,431.51288,0.6827397,491.1861,371.64905,0.45293278,400.28134,407.4219,0.8870227
40,422.3108,423.72433,0.79675645,444.6635,431.51288,0.6827397,491.1861,371.64905,0.45293278,400.28134,407.4219,0.8870227
41,422.3108,423.72433,0.79675645,444.6635,431.51288,0.6827397,491.1861,371.64905,0.45293278,400.28134,407.4219,0.8870227
42,422.30426,423.88007,0.7983396,444.7527,432.53998,0.6833807,491.2379,371.74176,0.4507452,400.06055,407.67993,0.8826544
43,422.30426,423.8801,0.7983401,444.75262,432.53998,0.6833814,491.2379,371.74176,0.45074457,400.06052,407.6799,0.8826545
