scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,422.14728,378.11865,0.7245343,442.05792,384.2362,0.65936416,484.35272,317.8653,0.6178243,402.1294,361.11542,0.82431996
1,422.12466,378.09323,0.7401684,441.89987,384.50928,0.6705399,483.44025,317.67307,0.645523,401.94272,361.96585,0.83136016
2,422.2564,378.06897,0.7235385,442.0012,384.64755,0.6672308,484.63144,317.88223,0.6146759,401.9851,361.9076,0.82848847
3,422.09552,378.29523,0.7380285,442.09106,384.6684,0.67295796,484.01752,317.99957,0.6452066,402.00174,362.23404,0.8162306
4,422.12207,377.79007,0.7190515,442.4152,384.05762,0.67222023,483.6622,317.66797,0.6605967,401.78558,361.64246,0.83258414
5,422.99985,376.28848,0.7162267,442.25812,384.18362,0.66675097,484.7409,318.42252,0.63064665,402.11707,361.52127,0.8267266
6,422.12396,377.4065,0.7212971,442.36823,383.7893,0.6665881,484.0727,318.01904,0.6365193,401.99146,361.36176,0.82429934
7,423.3819,376.07587,0.7092375,443.23746,383.46982,0.6580685,483.62488,318.13135,0.6532721,402.2149,360.98523,0.81408846
8,422.305,378.00153,0.7247517,442.41708,384.045,0.658096,484.34076,318.25333,0.649855,402.279,361.30908,0.82599646
9,423.4173,375.9976,0.71779364,442.69794,383.7396,0.6548752,483.40103,317.8018,0.66618353,401.90182,361.35553,0.8284884
10,422.46277,377.7282,0.7222916,443.12247,383.8215,0.6505487,484.2256,318.30566,0.6484482,402.11417,361.99432,0.8261082
11,423.17075,376.3123,0.71205556,443.1774,383.9288,0.6622124,484.1606,318.33612,0.63133913,401.91156,361.87924,0.8216123
12,422.42416,377.76868,0.73419166,442.18518,384.10736,0.6667159,484.03488,317.70062,0.6481506,401.7968,361.85934,0.8288204
13,422.69168,377.52515,0.71706635,442.92123,384.02554,0.6563521,483.66592,318.17874,0.6525344,401.86133,361.85696,0.8288859
14,422.29263,377.90796,0.72242475,442.10583,384.1212,0.6541852,483.9242,317.74072,0.652322,401.78717,361.09555,0.82668704
15,422.36182,377.93518,0.72299653,442.59528,384.2014,0.655334,483.8869,317.57446,0.64548683,401.94165,360.9608,0.821492
16,422.44577,377.50934,0.72364044,442.57306,383.7775,0.6576039,484.48996,317.99615,0.6445002,401.99915,361.45425,0.818943
17,422.30554,377.68018,0.72221464,442.60855,384.02124,0.65949196,484.6882,317.62567,0.6284524,400.16074,361.9054,0.8323605
18,422.3484,378.04028,0.7273155,442.21808,384.1596,0.662976,484.75262,317.95172,0.648475,402.025,361.54813,0.82563
19,422.19858,377.80258,0.7240043,442.07675,384.02988,0.66311336,484.16644,317.9308,0.63554764,402.0536,361.3886,0.81820625
20,422.24734,377.91046,0.7231126,442.61465,384.28763,0.6643581,484.9689,318.03937,0.6349708,401.92493,361.7077,0.82853764
21,422.35315,377.9098,0.7262365,442.06036,384.08804,0.6537112,483.55444,317.90668,0.6445501,402.1088,361.45502,0.82861507
22,422.4237,378.02957,0.7281253,442.27692,384.4513,0.66398627,483.81015,317.86984,0.64815426,401.9518,361.8882,0.8215821
23,422.5498,377.559,0.72768384,442.3175,384.05017,0.65697163,484.01108,317.7617,0.6503966,401.9052,361.5358,0.8275404
24,422.60605,377.5509,0.72499573,442.19498,383.9089,0.6557873,484.0372,317.9201,0.644375,401.83533,361.65543,0.8216094
25,422.58563,377.72507,0.7243138,442.4993,384.23605,0.65890497,483.8424,317.89954,0.64550596,401.7142,362.00284,0.8196829
26,422.33856,378.05975,0.7419179,441.85562,384.56638,0.66268975,484.38452,317.7861,0.6345186,401.97223,361.81567,0.8278739
27,422.427,377.70004,0.7328547,442.24725,384.3383,0.6567026,484.59958,318.3403,0.6331558,401.80405,361.77417,0.8276189
28,422.38458,378.09796,0.73076516,441.73077,384.46716,0.653245,484.56476,318.22647,0.62967956,401.9873,361.74323,0.82318556
29,422.17346,377.77505,0.73112386,442.06165,384.1872,0.6444463,484.28204,318.134,0.63818395,401.81036,361.63544,0.83100414
30,422.35196,378.014,0.7277129,442.28845,384.1622,0.66035724,483.752,318.05984,0.6392993,402.01746,361.909,0.820241
31,422.4132,377.59918,0.7280188,441.8796,383.87704,0.6487672,483.66245,317.74084,0.64440095,402.088,361.7154,0.80977184
32,422.59213,378.0953,0.73353434,442.0023,383.91562,0.63957644,485.02277,317.85068,0.6399201,401.80582,361.67023,0.82613015
33,422.54205,378.10767,0.7372817,442.1701,383.9568,0.6409622,484.64374,317.9643,0.63807106,401.9651,361.555,0.8270003
34,422.14844,378.14944,0.7388548,441.60403,383.92078,0.6467836,484.45297,318.1138,0.6455907,401.94107,361.55542,0.8130027
35,422.51202,378.10864,0.7301275,442.3398,384.23132,0.6433184,484.74634,318.24634,0.636212,401.8186,361.5588,0.8278907
36,422.65164,378.09244,0.7378999,442.02267,384.44998,0.65025496,483.8419,318.0287,0.6452995,401.7967,361.5791,0.82612234
37,422.76343,377.8325,0.73278904,442.14896,384.1364,0.64806247,484.6699,318.01544,0.6375318,401.91116,361.50195,0.82279646
38,422.30524,378.07806,0.73862594,441.93292,383.8582,0.6375956,484.23062,318.1104,0.64252234,401.9677,361.552,0.8243169
39,422.7136,378.17203,0.74038833,441.77133,384.52182,0.65838534,484.34296,318.1129,0.6424359,402.01965,362.1093,0.8281042
40,422.73447,378.0479,0.73872524,441.98203,384.29916,0.64952785,484.22208,317.8852,0.63942844,401.53577,361.37027,0.83895236
41,422.50784,377.9514,0.7354811,441.13138,383.39233,0.6334901,483.99698,317.99564,0.6666446,399.92026,362.07013,0.8297389
42,422.8591,379.09967,0.7113367,442.61316,383.60834,0.60241777,483.39603,317.84406,0.66911227,402.85294,361.78302,0.7916099
43,422.7907,379.85803,0.7574719,443.78418,384.23306,0.6529904,483.94897,318.37704,0.6555692,400.30618,362.1864,0.8068578
