scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
40,423.9622,424.39874,0.64690685,446.8823,429.48175,0.57527184,484.74246,379.02417,0.6786615,400.89624,405.84436,0.8291422
41,424.28494,423.73825,0.6400679,447.11127,429.0434,0.569887,484.6297,378.73727,0.68855023,399.04715,404.37762,0.79630816
42,423.36877,424.21457,0.64543444,446.3532,429.12512,0.5468388,484.41025,378.8831,0.6770806,400.77722,405.70407,0.8194299
43,423.96866,423.92004,0.64622676,446.87274,428.8539,0.57575786,484.63647,379.29034,0.6920667,398.86176,404.57022,0.8124931
44,423.607,424.0445,0.6364933,446.9776,428.89804,0.56342477,485.0548,378.94565,0.66540855,400.9413,405.5444,0.81500494
45,423.9195,424.24796,0.6453248,447.08994,429.35425,0.56791776,485.0646,379.1809,0.6972951,401.17993,405.4767,0.8242256
46,423.2969,427.58722,0.68620455,447.9293,429.64688,0.56441104,484.79025,379.1535,0.6802301,401.2324,406.15213,0.8276138
47,428.4257,424.67828,0.8061616,449.1259,428.0256,0.65249693,483.81497,379.52637,0.6868069,399.3185,405.86746,0.8494084
48,431.01196,425.13602,0.9074381,450.00684,427.7626,0.71605235,483.04306,378.37238,0.72098523,399.23285,405.49713,0.85851556
49,430.4465,424.12985,0.88995755,450.90854,428.1541,0.72854704,483.63675,378.49908,0.7338026,402.18787,405.91513,0.7556993
50,431.7747,421.6566,0.8981927,448.57916,426.33237,0.71206975,484.2402,377.12177,0.70562065,401.30957,400.946,0.7650827
51,429.74707,420.05716,0.93253917,447.9375,426.76013,0.6830092,484.87296,378.55527,0.74516565,399.45328,398.29202,0.7174485
52,429.58752,419.7662,0.88968897,448.2316,425.1949,0.71164477,485.00226,377.40073,0.7037815,399.27948,394.26385,0.79251415
53,431.04138,416.95117,0.9326539,447.46063,424.79306,0.70018363,485.35638,372.11603,0.6461115,398.50815,391.00134,0.8744056
54,432.31244,411.1055,0.9746334,448.29895,422.80844,0.70196295,485.09415,371.4221,0.6609759,399.67303,384.7575,0.79861134
55,432.09576,409.51547,0.91840464,448.7256,423.30902,0.65553427,486.6059,370.99896,0.61279553,397.87878,380.10858,0.8567212
56,434.79526,404.21814,0.9751121,449.58832,419.84995,0.61091816,488.07303,364.30612,0.4462135,396.7483,374.64774,0.89818037
57,433.10324,399.19287,0.9138674,448.04437,417.8684,0.6221496,488.20688,377.407,0.34245658,395.62692,364.29822,0.890028
58,434.15665,393.31528,0.86761117,450.58603,413.68378,0.61552745,494.55026,365.4255,0.26242143,394.15268,357.906,0.8834013
59,430.77008,387.35648,0.8352197,450.66245,407.71417,0.6788919,491.23376,369.0535,0.3537566,394.00827,354.4295,0.9716242
60,433.94165,380.83603,0.7711181,448.2904,403.58975,0.6648689,508.84042,347.08655,0.26449051,394.3144,345.05136,0.9394044
61,432.30383,375.5622,0.8417608,448.6808,396.93463,0.6660786,495.1883,361.2686,0.18672317,393.9062,341.59442,0.9336527
62,434.55566,370.4654,0.8292385,447.9505,391.92307,0.6299531,496.84387,363.25168,0.15682004,394.18832,338.09802,0.94403625
63,438.8279,365.74768,0.78618747,445.53247,381.1075,0.556345,524.3876,330.88715,0.39647344,394.74054,331.23138,0.9246571
64,437.4212,358.35327,0.68896055,445.3587,375.50092,0.48549005,525.88135,329.6565,0.43375698,395.09253,325.96146,0.89530367
65,435.88147,352.18497,0.48562896,439.2408,365.3733,0.34933832,524.68274,330.14642,0.3142132,393.2103,322.75803,0.860836
66,435.3548,345.34625,0.35081393,422.90332,349.98187,0.26896307,530.59454,329.3766,0.38616922,395.1607,313.36517,0.8639392
67,435.80444,342.3824,0.36365503,435.49323,344.12335,0.3094055,531.6464,329.91342,0.29839095,393.9175,308.54205,0.7639811
68,433.69556,337.6761,0.42674774,423.08585,342.75537,0.37369227,539.28326,330.61783,0.15721591,399.59064,303.3702,0.6603564
69,440.25864,333.07837,0.6469837,440.29498,349.85892,0.58560425,455.26398,363.56702,0.21262196,403.77432,295.7302,0.75160223
70,440.6542,326.97385,0.6382164,442.63184,345.59705,0.5892248,532.4862,329.9441,0.35453683,407.0748,287.41162,0.82468235
71,437.79144,323.47144,0.70210165,445.20163,343.6136,0.6395903,533.34485,327.62634,0.61586857,407.04303,283.38934,0.80138403
72,440.49127,319.92892,0.6492796,450.1486,343.5379,0.65297157,535.97406,327.57767,0.7998096,409.55096,276.56665,0.9347889
73,436.2167,313.10648,0.623309,449.2386,340.16397,0.6376328,537.42883,325.40677,0.81884533,413.17548,271.47513,0.8646755
74,438.35986,312.10583,0.7342974,447.63394,340.7191,0.6591298,538.0024,323.1898,0.85084057,417.0148,268.69366,0.88528496
75,438.60043,302.5496,0.6272675,447.36957,329.57535,0.61225855,538.55414,323.23685,0.84281003,420.60352,263.3195,0.9669957
76,438.73315,294.4125,0.6199928,447.3416,323.64267,0.6419437,540.1356,323.40292,0.72243416,422.91177,258.55505,1.0
77,436.97272,293.45792,0.6505852,449.30902,324.15265,0.67575294,539.03937,321.64145,0.6260915,423.50687,256.2964,0.8509208
78,440.86313,285.25577,0.6857751,450.0759,318.01376,0.70237076,496.57776,319.12592,0.18497373,428.05707,253.15782,0.9643761
79,440.08096,283.43713,0.64565563,449.60593,318.07162,0.6712752,488.62802,317.21136,0.3213508,429.3742,248.46619,0.9350362
80,441.87714,280.14203,0.71735346,450.53403,310.24176,0.6324199,487.0474,320.13794,0.45923027,431.82224,247.92215,0.90636075
81,443.67603,277.31213,0.6625631,447.39514,319.2382,0.61123204,486.88556,314.6276,0.54486847,436.36563,244.89328,1.0
82,443.15585,276.886,0.71206695,448.1281,309.681,0.6186071,482.35135,313.55585,0.82027864,436.12488,241.4852,0.96679354
83,440.80933,272.671,0.68634194,446.2841,306.06012,0.63883793,479.47247,312.32053,0.8103909,438.55194,241.01329,0.88971835
84,440.06467,269.33746,0.6062031,443.05804,304.7317,0.5461773,479.51624,312.82516,0.72215736,439.75037,237.24835,0.877496
85,438.79706,267.57278,0.671114,444.56107,293.52274,0.6356915,478.952,306.31705,0.7622175,439.51746,231.90111,0.8492648
86,440.84073,259.50613,0.609322,445.38248,292.9324,0.52646,481.97943,301.55664,0.6482206,440.6728,230.5498,0.8629428
87,439.0837,259.1649,0.6512544,447.09213,286.65616,0.5337846,481.2894,300.4801,0.717284,441.26907,229.49593,0.7981349
88,438.94986,255.61894,0.6404722,440.91916,285.09055,0.57269216,481.278,299.53964,0.82043505,441.82742,225.93953,0.74171114
89,438.09882,254.94186,0.6161313,441.13675,284.7056,0.51104075,482.0823,297.35846,0.7247995,447.2583,225.5565,0.71072036
90,430.74875,254.54378,0.51729214,439.2352,283.9392,0.61166495,481.59787,293.29913,0.6890068,448.05408,224.50151,0.6283794
91,436.74515,246.79485,0.46820736,439.60355,278.9845,0.5427876,479.55997,293.47998,0.76512665,453.22592,220.4576,0.6498067
92,441.1341,244.85927,0.44947487,436.0965,282.31488,0.6120038,478.63556,293.47104,0.8380938,454.07135,217.20909,0.61021084
93,449.42926,240.43233,0.5506534,459.58594,266.8185,0.42971277,480.63596,287.3874,0.5495482,403.60068,223.56703,0.6236752
94,416.5925,242.34912,0.42575258,435.0695,276.77747,0.5440396,481.25888,286.6314,0.67070603,403.97687,218.01907,0.65414864
95,451.8894,240.56042,0.44594765,439.54675,263.41867,0.46298566,479.8573,288.05023,0.86121446,405.59906,213.64734,0.6855136
96,454.19766,240.59766,0.50159997,436.76526,262.47412,0.45282927,480.12503,286.62177,0.8856924,405.36075,212.06422,0.645232
97,458.73132,236.75357,0.41358432,435.34964,263.19226,0.43224105,480.1454,284.122,0.7287979,406.3146,203.12724,0.7724126
98,459.14578,236.39444,0.4012169,436.1734,261.83377,0.5039179,480.74063,282.36963,0.63912445,408.48273,198.61629,0.7210242
99,464.97687,235.11598,0.41100076,434.91254,260.85846,0.49899456,480.00708,281.50345,0.66637444,411.4797,194.12364,0.72521514
100,468.46384,235.74193,0.45653155,434.53674,254.54147,0.44886747,481.18634,278.64645,0.67238224,412.7219,189.49034,0.8791698
101,468.69006,234.03123,0.4555841,432.99585,254.15686,0.38069794,481.01486,279.45615,0.7840339,414.86035,182.13394,0.86997646
102,469.122,233.37347,0.56020486,451.2023,255.37949,0.31826735,482.08655,276.82034,0.68782306,418.43576,178.37091,0.7492798
103,468.12756,229.46948,0.47964576,445.83984,257.26276,0.3275225,481.29605,272.366,0.55348384,419.26486,172.3247,0.82656753
104,467.2658,225.65395,0.43661556,446.19565,257.5007,0.3200177,479.3886,274.36798,0.5769076,421.47128,170.98491,0.8065131
105,467.70145,226.1031,0.54495054,447.12543,248.26022,0.41166738,479.22202,268.3308,0.6736313,425.63647,163.56053,0.79262775
106,465.91727,224.73235,0.65234756,447.60703,249.82176,0.6516627,479.6789,268.143,0.705668,428.20825,161.92107,0.73363733
